test_id,maintenance_title,maintenance_description,priority_level,system_prediction,confidence,model_available,is_correct
827,OTHER Issue - Unit 304,Aircon leaking in Unit 304 bedroom,MEDIUM,LOW,0.7067,TRUE,FALSE
828,ELECTRICAL Issue - Unit 409,Bathroom light burned out in Unit 409,HIGH,HIGH,0.8333,TRUE,TRUE
829,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,HIGH,LOW,0.5308,TRUE,FALSE
830,ELECTRICAL Issue - Unit 404,Circuit breaker keeps tripping in Unit 404,HIGH,MEDIUM,0.8800,TRUE,FALSE
831,PLUMBING Issue - Unit 201,Toilet won't stop running in Unit 201,HIGH,MEDIUM,0.5333,TRUE,FALSE
832,PLUMBING Issue - Unit 507,Water leaking under kitchen sink in Unit 507,MEDIUM,HIGH,0.5933,TRUE,FALSE
833,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,MEDIUM,HIGH,0.5072,TRUE,FALSE
834,OTHER Issue - Unit 301,Aircon leaking in Unit 301 bedroom,MEDIUM,MEDIUM,0.8253,TRUE,TRUE
835,STRUCTURAL Issue - Unit 206,Crack near window in Unit 206 after heavy rain,MEDIUM,LOW,0.7478,TRUE,FALSE
836,PLUMBING Issue - Unit 204,Low water pressure in shower of Unit 204,MEDIUM,LOW,0.9200,TRUE,FALSE
837,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,MEDIUM,MEDIUM,0.9093,TRUE,TRUE
838,PLUMBING Issue - Unit 306,Faucet dripping in Unit 306 bathroom,HIGH,MEDIUM,0.4399,TRUE,FALSE
839,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,HIGH,LOW,0.4847,TRUE,FALSE
840,ELECTRICAL Issue - Unit 208,Circuit breaker keeps tripping in Unit 208,HIGH,MEDIUM,0.8600,TRUE,FALSE
841,ELECTRICAL Issue - Unit 401,Circuit breaker keeps tripping in Unit 401,HIGH,MEDIUM,0.5953,TRUE,FALSE
842,STRUCTURAL Issue - Unit 205,Door frame damaged in Unit 205,MEDIUM,LOW,0.5689,TRUE,FALSE
843,PLUMBING Issue - Unit 505,Low water pressure in shower of Unit 505,MEDIUM,HIGH,0.6267,TRUE,FALSE
844,STRUCTURAL Issue - Unit 307,Floor tiles loose in Unit 307 kitchen,MEDIUM,HIGH,0.8333,TRUE,FALSE
845,OTHER Issue - Unit 201,Bad smell in hallway near Unit 201,HIGH,MEDIUM,0.5292,TRUE,FALSE
846,PLUMBING Issue - Unit 210,Faucet dripping in Unit 210 bathroom,HIGH,HIGH,0.6667,TRUE,TRUE
847,ELECTRICAL Issue - Unit 201,Bathroom light burned out in Unit 201,HIGH,MEDIUM,0.6580,TRUE,FALSE
848,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,MEDIUM,LOW,0.4506,TRUE,FALSE
849,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,MEDIUM,MEDIUM,0.9093,TRUE,TRUE
850,ELECTRICAL Issue - Unit 209,Bedroom outlet sparks when plugging in charger in Unit 209,HIGH,MEDIUM,0.5467,TRUE,FALSE
851,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,HIGH,MEDIUM,0.4947,TRUE,FALSE
852,PLUMBING Issue - Unit 402,Low water pressure in shower of Unit 402,MEDIUM,MEDIUM,0.6505,TRUE,TRUE
853,OTHER Issue - Unit 304,Internet connection unstable in Unit 304,MEDIUM,HIGH,0.7867,TRUE,FALSE
854,OTHER Issue - Unit 204,Cockroaches seen near kitchen cabinet in Unit 204,HIGH,MEDIUM,0.7388,TRUE,FALSE
855,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,MEDIUM,LOW,0.5800,TRUE,FALSE
856,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,HIGH,LOW,0.5308,TRUE,FALSE
857,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,HIGH,MEDIUM,0.8363,TRUE,FALSE
858,OTHER Issue - Unit 207,Bad smell in hallway near Unit 207,HIGH,MEDIUM,0.6026,TRUE,FALSE
859,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,HIGH,LOW,0.5933,TRUE,FALSE
860,STRUCTURAL Issue - Unit 508,Floor tiles loose in Unit 508 kitchen,MEDIUM,HIGH,0.5313,TRUE,FALSE
861,OTHER Issue - Unit 301,Neighbors too noisy during midnight in Unit 301,HIGH,MEDIUM,0.7024,TRUE,FALSE
862,PLUMBING Issue - Unit 501,Faucet dripping in Unit 501 bathroom,HIGH,LOW,0.7133,TRUE,FALSE
863,OTHER Issue - Unit 203,Internet connection unstable in Unit 203,MEDIUM,LOW,0.7308,TRUE,FALSE
864,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,MEDIUM,HIGH,0.5072,TRUE,FALSE
865,OTHER Issue - Unit 509,Internet connection unstable in Unit 509,MEDIUM,MEDIUM,0.6333,TRUE,TRUE
866,OTHER Issue - Unit 408,Neighbors too noisy during midnight in Unit 408,HIGH,MEDIUM,0.6467,TRUE,FALSE
867,ELECTRICAL Issue - Unit 507,Circuit breaker keeps tripping in Unit 507,HIGH,LOW,0.8133,TRUE,FALSE
868,STRUCTURAL Issue - Unit 405,Crack near window in Unit 405 after heavy rain,MEDIUM,MEDIUM,0.6292,TRUE,TRUE
869,PLUMBING Issue - Unit 304,Faucet dripping in Unit 304 bathroom,HIGH,HIGH,0.4573,TRUE,TRUE
870,PLUMBING Issue - Unit 407,Low water pressure in shower of Unit 407,MEDIUM,MEDIUM,0.7867,TRUE,TRUE
871,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,HIGH,MEDIUM,0.4947,TRUE,FALSE
872,STRUCTURAL Issue - Unit 508,Ceiling water stain in Unit 508,MEDIUM,HIGH,0.4997,TRUE,FALSE
873,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,HIGH,MEDIUM,0.8363,TRUE,FALSE
874,ELECTRICAL Issue - Unit 310,Bedroom outlet sparks when plugging in charger in Unit 310,HIGH,MEDIUM,0.5978,TRUE,FALSE
875,PLUMBING Issue - Unit 505,Bathroom sink clogged in Unit 505,HIGH,HIGH,0.7800,TRUE,TRUE
876,OTHER Issue - Unit 505,Cockroaches seen near kitchen cabinet in Unit 505,HIGH,HIGH,0.6985,TRUE,TRUE
877,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,HIGH,MEDIUM,0.7467,TRUE,FALSE
878,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,MEDIUM,HIGH,0.7867,TRUE,FALSE
879,STRUCTURAL Issue - Unit 308,Wall crack appearing in Unit 308 bedroom,MEDIUM,HIGH,0.5200,TRUE,FALSE
880,PLUMBING Issue - Unit 503,Toilet won't stop running in Unit 503,HIGH,HIGH,0.5067,TRUE,TRUE
881,OTHER Issue - Unit 206,Bad smell in hallway near Unit 206,HIGH,MEDIUM,0.7933,TRUE,FALSE
882,OTHER Issue - Unit 306,Internet connection unstable in Unit 306,MEDIUM,HIGH,0.6533,TRUE,FALSE
883,PLUMBING Issue - Unit 310,Bathroom sink clogged in Unit 310,HIGH,HIGH,0.5600,TRUE,TRUE
884,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,MEDIUM,LOW,0.5695,TRUE,FALSE
885,PLUMBING Issue - Unit 305,Toilet won't stop running in Unit 305,HIGH,HIGH,0.5400,TRUE,TRUE
886,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,HIGH,MEDIUM,0.7492,TRUE,FALSE
887,STRUCTURAL Issue - Unit 504,Floor tiles loose in Unit 504 kitchen,MEDIUM,MEDIUM,0.6751,TRUE,TRUE
888,PLUMBING Issue - Unit 303,Faucet dripping in Unit 303 bathroom,HIGH,HIGH,0.8058,TRUE,TRUE
889,STRUCTURAL Issue - Unit 202,Wall crack appearing in Unit 202 bedroom,LOW,MEDIUM,0.7800,TRUE,FALSE
890,ELECTRICAL Issue - Unit 209,Light fixture flickering in Unit 209 living room,HIGH,HIGH,0.6733,TRUE,TRUE
891,OTHER Issue - Unit 205,Neighbors too noisy during midnight in Unit 205,HIGH,LOW,0.6911,TRUE,FALSE
892,OTHER Issue - Unit 408,Internet connection unstable in Unit 408,MEDIUM,HIGH,0.7533,TRUE,FALSE
893,PLUMBING Issue - Unit 410,Bathroom sink clogged in Unit 410,HIGH,HIGH,0.7533,TRUE,TRUE
894,PLUMBING Issue - Unit 409,Water leaking under kitchen sink in Unit 409,MEDIUM,LOW,0.6512,TRUE,FALSE
895,PLUMBING Issue - Unit 207,Faucet dripping in Unit 207 bathroom,HIGH,LOW,0.7200,TRUE,FALSE
896,PLUMBING Issue - Unit 203,Faucet dripping in Unit 203 bathroom,HIGH,HIGH,0.8133,TRUE,TRUE
897,ELECTRICAL Issue - Unit 406,Bedroom outlet sparks when plugging in charger in Unit 406,HIGH,MEDIUM,0.7800,TRUE,FALSE
898,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,HIGH,LOW,0.4847,TRUE,FALSE
899,STRUCTURAL Issue - Unit 308,Door frame damaged in Unit 308,MEDIUM,MEDIUM,0.7849,TRUE,TRUE
900,STRUCTURAL Issue - Unit 504,Wall crack appearing in Unit 504 bedroom,MEDIUM,MEDIUM,0.7667,TRUE,TRUE
901,OTHER Issue - Unit 407,Bad smell in hallway near Unit 407,HIGH,HIGH,0.7800,TRUE,TRUE
902,PLUMBING Issue - Unit 210,Low water pressure in shower of Unit 210,MEDIUM,LOW,0.8400,TRUE,FALSE
903,ELECTRICAL Issue - Unit 501,Power outlet not working in Unit 501,HIGH,MEDIUM,0.5704,TRUE,FALSE
904,STRUCTURAL Issue - Unit 305,Wall crack appearing in Unit 305 bedroom,LOW,LOW,0.7733,TRUE,TRUE
905,ELECTRICAL Issue - Unit 407,Bathroom light burned out in Unit 407,HIGH,HIGH,0.5267,TRUE,TRUE
906,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,HIGH,MEDIUM,0.7467,TRUE,FALSE
907,OTHER Issue - Unit 501,Aircon leaking in Unit 501 bedroom,MEDIUM,LOW,0.6733,TRUE,FALSE
908,ELECTRICAL Issue - Unit 308,Power outlet not working in Unit 308,HIGH,HIGH,0.7000,TRUE,TRUE
909,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,MEDIUM,MEDIUM,0.5968,TRUE,TRUE
910,OTHER Issue - Unit 307,Aircon leaking in Unit 307 bedroom,MEDIUM,MEDIUM,0.8241,TRUE,TRUE
911,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,MEDIUM,LOW,0.5695,TRUE,FALSE
912,STRUCTURAL Issue - Unit 508,Crack near window in Unit 508 after heavy rain,MEDIUM,HIGH,0.6714,TRUE,FALSE
913,ELECTRICAL Issue - Unit 501,Bedroom outlet sparks when plugging in charger in Unit 501,HIGH,MEDIUM,0.6760,TRUE,FALSE
914,PLUMBING Issue - Unit 310,Faucet dripping in Unit 310 bathroom,HIGH,MEDIUM,0.7000,TRUE,FALSE
915,OTHER Issue - Unit 309,Cockroaches seen near kitchen cabinet in Unit 309,HIGH,MEDIUM,0.7198,TRUE,FALSE
916,OTHER Issue - Unit 407,Internet connection unstable in Unit 407,MEDIUM,MEDIUM,0.7026,TRUE,TRUE
917,PLUMBING Issue - Unit 308,Faucet dripping in Unit 308 bathroom,HIGH,LOW,0.7267,TRUE,FALSE
918,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,MEDIUM,LOW,0.4506,TRUE,FALSE
919,STRUCTURAL Issue - Unit 503,Door frame damaged in Unit 503,MEDIUM,MEDIUM,0.5663,TRUE,TRUE
920,PLUMBING Issue - Unit 404,Water leaking under kitchen sink in Unit 404,MEDIUM,MEDIUM,0.7200,TRUE,TRUE
921,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,HIGH,LOW,0.6893,TRUE,FALSE
922,ELECTRICAL Issue - Unit 404,Bedroom outlet sparks when plugging in charger in Unit 404,HIGH,HIGH,0.7400,TRUE,TRUE
923,ELECTRICAL Issue - Unit 507,Bedroom outlet sparks when plugging in charger in Unit 507,HIGH,MEDIUM,0.5226,TRUE,FALSE
924,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,MEDIUM,MEDIUM,0.5968,TRUE,TRUE
925,PLUMBING Issue - Unit 507,Toilet won't stop running in Unit 507,HIGH,MEDIUM,0.4400,TRUE,FALSE
926,PLUMBING Issue - Unit 509,Faucet dripping in Unit 509 bathroom,HIGH,MEDIUM,0.7333,TRUE,FALSE
927,ELECTRICAL Issue - Unit 202,Light fixture flickering in Unit 202 living room,HIGH,MEDIUM,0.7600,TRUE,FALSE
928,ELECTRICAL Issue - Unit 208,Bathroom light burned out in Unit 208,HIGH,HIGH,0.8600,TRUE,TRUE
929,ELECTRICAL Issue - Unit 205,Circuit breaker keeps tripping in Unit 205,HIGH,MEDIUM,0.6933,TRUE,FALSE
930,STRUCTURAL Issue - Unit 410,Ceiling water stain in Unit 410,MEDIUM,LOW,0.6490,TRUE,FALSE
931,STRUCTURAL Issue - Unit 502,Wall crack appearing in Unit 502 bedroom,LOW,HIGH,0.7333,TRUE,FALSE
932,STRUCTURAL Issue - Unit 407,Crack near window in Unit 407 after heavy rain,MEDIUM,LOW,0.5226,TRUE,FALSE
933,STRUCTURAL Issue - Unit 507,Crack near window in Unit 507 after heavy rain,MEDIUM,LOW,0.6768,TRUE,FALSE
934,ELECTRICAL Issue - Unit 407,Power outlet not working in Unit 407,HIGH,MEDIUM,0.8800,TRUE,FALSE
935,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,HIGH,LOW,0.6893,TRUE,FALSE
936,ELECTRICAL Issue - Unit 408,Circuit breaker keeps tripping in Unit 408,HIGH,MEDIUM,0.8667,TRUE,FALSE
937,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,HIGH,LOW,0.5933,TRUE,FALSE
938,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,MEDIUM,HIGH,0.7867,TRUE,FALSE
939,STRUCTURAL Issue - Unit 405,Wall crack appearing in Unit 405 bedroom,LOW,HIGH,0.7067,TRUE,FALSE
940,PLUMBING Issue - Unit 508,Low water pressure in shower of Unit 508,MEDIUM,HIGH,0.8050,TRUE,FALSE
941,STRUCTURAL Issue - Unit 302,Wall crack appearing in Unit 302 bedroom,LOW,LOW,0.7467,TRUE,TRUE
942,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,MEDIUM,LOW,0.5800,TRUE,FALSE
943,OTHER Issue - Unit 403,Internet connection unstable in Unit 403,MEDIUM,LOW,0.8717,TRUE,FALSE
944,STRUCTURAL Issue - Unit 509,Ceiling water stain in Unit 509,MEDIUM,MEDIUM,0.7352,TRUE,TRUE
945,ELECTRICAL Issue - Unit 405,Bedroom outlet sparks when plugging in charger in Unit 405,HIGH,HIGH,0.8067,TRUE,TRUE
946,PLUMBING Issue - Unit 309,Low water pressure in shower of Unit 309,MEDIUM,HIGH,0.8720,TRUE,FALSE
947,PLUMBING Issue - Unit 306,Water leaking under kitchen sink in Unit 306,MEDIUM,LOW,0.6733,TRUE,FALSE
948,OTHER Issue - Unit 408,Bad smell in hallway near Unit 408,HIGH,MEDIUM,0.7600,TRUE,FALSE
949,OTHER Issue - Unit 302,Bad smell in hallway near Unit 302,HIGH,HIGH,0.8533,TRUE,TRUE
950,OTHER Issue - Unit 407,Cockroaches seen near kitchen cabinet in Unit 407,HIGH,LOW,0.7446,TRUE,FALSE
951,PLUMBING Issue - Unit 301,Water leaking under kitchen sink in Unit 301,MEDIUM,MEDIUM,0.5000,TRUE,TRUE
952,ELECTRICAL Issue - Unit 210,Circuit breaker keeps tripping in Unit 210,HIGH,MEDIUM,0.4620,TRUE,FALSE
953,PLUMBING Issue - Unit 208,Water leaking under kitchen sink in Unit 208,MEDIUM,HIGH,0.6533,TRUE,FALSE
954,ELECTRICAL Issue - Unit 406,Power outlet not working in Unit 406,HIGH,HIGH,0.7800,TRUE,TRUE
955,OTHER Issue - Unit 305,Internet connection unstable in Unit 305,MEDIUM,LOW,0.5404,TRUE,FALSE
956,OTHER Issue - Unit 305,Aircon leaking in Unit 305 bedroom,MEDIUM,MEDIUM,0.8617,TRUE,TRUE
957,STRUCTURAL Issue - Unit 307,Door frame damaged in Unit 307,MEDIUM,LOW,0.6503,TRUE,FALSE
958,PLUMBING Issue - Unit 303,Toilet won't stop running in Unit 303,HIGH,HIGH,0.4773,TRUE,TRUE
959,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,LOW,HIGH,0.6933,TRUE,FALSE
960,PLUMBING Issue - Unit 403,Faucet dripping in Unit 403 bathroom,HIGH,LOW,0.5021,TRUE,FALSE
961,OTHER Issue - Unit 403,Cockroaches seen near kitchen cabinet in Unit 403,HIGH,MEDIUM,0.4974,TRUE,FALSE
962,ELECTRICAL Issue - Unit 302,Circuit breaker keeps tripping in Unit 302,HIGH,HIGH,0.6667,TRUE,TRUE
963,STRUCTURAL Issue - Unit 310,Floor tiles loose in Unit 310 kitchen,MEDIUM,HIGH,0.8000,TRUE,FALSE
964,STRUCTURAL Issue - Unit 404,Door frame damaged in Unit 404,MEDIUM,MEDIUM,0.5317,TRUE,TRUE
965,STRUCTURAL Issue - Unit 209,Crack near window in Unit 209 after heavy rain,MEDIUM,HIGH,0.6260,TRUE,FALSE
