test_id,maintenance_title,maintenance_description,combined_input_text,human_label,system_prediction,matched_keyword_count,matched_keywords,keyword_match_found,is_correct
811,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,PLUMBING Issue - Unit 203 Bathroom sink clogged in Unit 203,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
812,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,ELECTRICAL Issue - Unit 306 Bathroom light burned out in Unit 306,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
813,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,STRUCTURAL Issue - Unit 210 Wall crack appearing in Unit 210 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
814,OTHER Issue - Unit 209,Cockroaches seen near kitchen cabinet in Unit 209,OTHER Issue - Unit 209 Cockroaches seen near kitchen cabinet in Unit 209,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
815,ELECTRICAL Issue - Unit 202,Bathroom light burned out in Unit 202,ELECTRICAL Issue - Unit 202 Bathroom light burned out in Unit 202,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
816,OTHER Issue - Unit 305,Neighbors too noisy during midnight in Unit 305,OTHER Issue - Unit 305 Neighbors too noisy during midnight in Unit 305,OTHER,OTHER,0,,FALSE,TRUE
817,OTHER Issue - Unit 410,Cockroaches seen near kitchen cabinet in Unit 410,OTHER Issue - Unit 410 Cockroaches seen near kitchen cabinet in Unit 410,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
818,ELECTRICAL Issue - Unit 309,Circuit breaker keeps tripping in Unit 309,ELECTRICAL Issue - Unit 309 Circuit breaker keeps tripping in Unit 309,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
819,OTHER Issue - Unit 403,Aircon leaking in Unit 403 bedroom,OTHER Issue - Unit 403 Aircon leaking in Unit 403 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
820,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,STRUCTURAL Issue - Unit 309 Door frame damaged in Unit 309,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
821,STRUCTURAL Issue - Unit 401,Door frame damaged in Unit 401,STRUCTURAL Issue - Unit 401 Door frame damaged in Unit 401,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
822,STRUCTURAL Issue - Unit 507,Door frame damaged in Unit 507,STRUCTURAL Issue - Unit 507 Door frame damaged in Unit 507,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
823,OTHER Issue - Unit 208,Neighbors too noisy during midnight in Unit 208,OTHER Issue - Unit 208 Neighbors too noisy during midnight in Unit 208,OTHER,OTHER,0,,FALSE,TRUE
824,STRUCTURAL Issue - Unit 306,Crack near window in Unit 306 after heavy rain,STRUCTURAL Issue - Unit 306 Crack near window in Unit 306 after heavy rain,STRUCTURAL,STRUCTURAL,3,crack|window|structural,TRUE,TRUE
825,OTHER Issue - Unit 405,Cockroaches seen near kitchen cabinet in Unit 405,OTHER Issue - Unit 405 Cockroaches seen near kitchen cabinet in Unit 405,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
826,PLUMBING Issue - Unit 404,Bathroom sink clogged in Unit 404,PLUMBING Issue - Unit 404 Bathroom sink clogged in Unit 404,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
827,OTHER Issue - Unit 304,Aircon leaking in Unit 304 bedroom,OTHER Issue - Unit 304 Aircon leaking in Unit 304 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
828,ELECTRICAL Issue - Unit 409,Bathroom light burned out in Unit 409,ELECTRICAL Issue - Unit 409 Bathroom light burned out in Unit 409,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
829,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,PLUMBING Issue - Unit 506 Bathroom sink clogged in Unit 506,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
830,ELECTRICAL Issue - Unit 404,Circuit breaker keeps tripping in Unit 404,ELECTRICAL Issue - Unit 404 Circuit breaker keeps tripping in Unit 404,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
831,PLUMBING Issue - Unit 201,Toilet won't stop running in Unit 201,PLUMBING Issue - Unit 201 Toilet won't stop running in Unit 201,PLUMBING,PLUMBING,1,toilet,TRUE,TRUE
832,PLUMBING Issue - Unit 507,Water leaking under kitchen sink in Unit 507,PLUMBING Issue - Unit 507 Water leaking under kitchen sink in Unit 507,PLUMBING,PLUMBING,4,leak|leaking|water|sink,TRUE,TRUE
833,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,STRUCTURAL Issue - Unit 409 Crack near window in Unit 409 after heavy rain,STRUCTURAL,STRUCTURAL,3,crack|window|structural,TRUE,TRUE
834,OTHER Issue - Unit 301,Aircon leaking in Unit 301 bedroom,OTHER Issue - Unit 301 Aircon leaking in Unit 301 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
835,STRUCTURAL Issue - Unit 206,Crack near window in Unit 206 after heavy rain,STRUCTURAL Issue - Unit 206 Crack near window in Unit 206 after heavy rain,STRUCTURAL,STRUCTURAL,3,crack|window|structural,TRUE,TRUE
836,PLUMBING Issue - Unit 204,Low water pressure in shower of Unit 204,PLUMBING Issue - Unit 204 Low water pressure in shower of Unit 204,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
837,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,OTHER Issue - Unit 207 Aircon leaking in Unit 207 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
838,PLUMBING Issue - Unit 306,Faucet dripping in Unit 306 bathroom,PLUMBING Issue - Unit 306 Faucet dripping in Unit 306 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
839,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,OTHER Issue - Unit 507 Neighbors too noisy during midnight in Unit 507,OTHER,OTHER,0,,FALSE,TRUE
840,ELECTRICAL Issue - Unit 208,Circuit breaker keeps tripping in Unit 208,ELECTRICAL Issue - Unit 208 Circuit breaker keeps tripping in Unit 208,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
841,ELECTRICAL Issue - Unit 401,Circuit breaker keeps tripping in Unit 401,ELECTRICAL Issue - Unit 401 Circuit breaker keeps tripping in Unit 401,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
842,STRUCTURAL Issue - Unit 205,Door frame damaged in Unit 205,STRUCTURAL Issue - Unit 205 Door frame damaged in Unit 205,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
843,PLUMBING Issue - Unit 505,Low water pressure in shower of Unit 505,PLUMBING Issue - Unit 505 Low water pressure in shower of Unit 505,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
844,STRUCTURAL Issue - Unit 307,Floor tiles loose in Unit 307 kitchen,STRUCTURAL Issue - Unit 307 Floor tiles loose in Unit 307 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
845,OTHER Issue - Unit 201,Bad smell in hallway near Unit 201,OTHER Issue - Unit 201 Bad smell in hallway near Unit 201,OTHER,OTHER,0,,FALSE,TRUE
846,PLUMBING Issue - Unit 210,Faucet dripping in Unit 210 bathroom,PLUMBING Issue - Unit 210 Faucet dripping in Unit 210 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
847,ELECTRICAL Issue - Unit 201,Bathroom light burned out in Unit 201,ELECTRICAL Issue - Unit 201 Bathroom light burned out in Unit 201,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
848,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,STRUCTURAL Issue - Unit 305 Floor tiles loose in Unit 305 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
849,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,OTHER Issue - Unit 207 Aircon leaking in Unit 207 bedroom,OTHER,PLUMBING,2,leak|leaking,TRUE,FALSE
850,ELECTRICAL Issue - Unit 209,Bedroom outlet sparks when plugging in charger in Unit 209,ELECTRICAL Issue - Unit 209 Bedroom outlet sparks when plugging in charger in Unit 209,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
851,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,OTHER Issue - Unit 501 Cockroaches seen near kitchen cabinet in Unit 501,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
852,PLUMBING Issue - Unit 402,Low water pressure in shower of Unit 402,PLUMBING Issue - Unit 402 Low water pressure in shower of Unit 402,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
853,OTHER Issue - Unit 304,Internet connection unstable in Unit 304,OTHER Issue - Unit 304 Internet connection unstable in Unit 304,OTHER,OTHER,0,,FALSE,TRUE
854,OTHER Issue - Unit 204,Cockroaches seen near kitchen cabinet in Unit 204,OTHER Issue - Unit 204 Cockroaches seen near kitchen cabinet in Unit 204,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
855,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,OTHER Issue - Unit 310 Internet connection unstable in Unit 310,OTHER,OTHER,0,,FALSE,TRUE
856,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,PLUMBING Issue - Unit 506 Bathroom sink clogged in Unit 506,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
857,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,OTHER Issue - Unit 508 Cockroaches seen near kitchen cabinet in Unit 508,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
858,OTHER Issue - Unit 207,Bad smell in hallway near Unit 207,OTHER Issue - Unit 207 Bad smell in hallway near Unit 207,OTHER,OTHER,0,,FALSE,TRUE
859,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,ELECTRICAL Issue - Unit 502 Bedroom outlet sparks when plugging in charger in Unit 502,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
860,STRUCTURAL Issue - Unit 508,Floor tiles loose in Unit 508 kitchen,STRUCTURAL Issue - Unit 508 Floor tiles loose in Unit 508 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
861,OTHER Issue - Unit 301,Neighbors too noisy during midnight in Unit 301,OTHER Issue - Unit 301 Neighbors too noisy during midnight in Unit 301,OTHER,OTHER,0,,FALSE,TRUE
862,PLUMBING Issue - Unit 501,Faucet dripping in Unit 501 bathroom,PLUMBING Issue - Unit 501 Faucet dripping in Unit 501 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
863,OTHER Issue - Unit 203,Internet connection unstable in Unit 203,OTHER Issue - Unit 203 Internet connection unstable in Unit 203,OTHER,OTHER,0,,FALSE,TRUE
864,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,STRUCTURAL Issue - Unit 409 Crack near window in Unit 409 after heavy rain,STRUCTURAL,STRUCTURAL,3,crack|window|structural,TRUE,TRUE
865,OTHER Issue - Unit 509,Internet connection unstable in Unit 509,OTHER Issue - Unit 509 Internet connection unstable in Unit 509,OTHER,OTHER,0,,FALSE,TRUE
866,OTHER Issue - Unit 408,Neighbors too noisy during midnight in Unit 408,OTHER Issue - Unit 408 Neighbors too noisy during midnight in Unit 408,OTHER,OTHER,0,,FALSE,TRUE
867,ELECTRICAL Issue - Unit 507,Circuit breaker keeps tripping in Unit 507,ELECTRICAL Issue - Unit 507 Circuit breaker keeps tripping in Unit 507,ELECTRICAL,ELECTRICAL,2,electric|breaker,TRUE,TRUE
868,STRUCTURAL Issue - Unit 405,Crack near window in Unit 405 after heavy rain,STRUCTURAL Issue - Unit 405 Crack near window in Unit 405 after heavy rain,STRUCTURAL,STRUCTURAL,3,crack|window|structural,TRUE,TRUE
869,PLUMBING Issue - Unit 304,Faucet dripping in Unit 304 bathroom,PLUMBING Issue - Unit 304 Faucet dripping in Unit 304 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
870,PLUMBING Issue - Unit 407,Low water pressure in shower of Unit 407,PLUMBING Issue - Unit 407 Low water pressure in shower of Unit 407,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
871,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,OTHER Issue - Unit 501 Cockroaches seen near kitchen cabinet in Unit 501,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
872,STRUCTURAL Issue - Unit 508,Ceiling water stain in Unit 508,STRUCTURAL Issue - Unit 508 Ceiling water stain in Unit 508,PLUMBING,STRUCTURAL,2,ceiling|structural,TRUE,FALSE
873,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,OTHER Issue - Unit 508 Cockroaches seen near kitchen cabinet in Unit 508,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
874,ELECTRICAL Issue - Unit 310,Bedroom outlet sparks when plugging in charger in Unit 310,ELECTRICAL Issue - Unit 310 Bedroom outlet sparks when plugging in charger in Unit 310,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
875,PLUMBING Issue - Unit 505,Bathroom sink clogged in Unit 505,PLUMBING Issue - Unit 505 Bathroom sink clogged in Unit 505,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
876,OTHER Issue - Unit 505,Cockroaches seen near kitchen cabinet in Unit 505,OTHER Issue - Unit 505 Cockroaches seen near kitchen cabinet in Unit 505,OTHER,STRUCTURAL,1,cabinet,TRUE,FALSE
877,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,ELECTRICAL Issue - Unit 503 Light fixture flickering in Unit 503 living room,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
878,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,STRUCTURAL Issue - Unit 306 Floor tiles loose in Unit 306 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
879,STRUCTURAL Issue - Unit 308,Wall crack appearing in Unit 308 bedroom,STRUCTURAL Issue - Unit 308 Wall crack appearing in Unit 308 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
880,PLUMBING Issue - Unit 503,Toilet won't stop running in Unit 503,PLUMBING Issue - Unit 503 Toilet won't stop running in Unit 503,PLUMBING,PLUMBING,1,toilet,TRUE,TRUE
881,OTHER Issue - Unit 206,Bad smell in hallway near Unit 206,OTHER Issue - Unit 206 Bad smell in hallway near Unit 206,OTHER,OTHER,0,,FALSE,TRUE
882,OTHER Issue - Unit 306,Internet connection unstable in Unit 306,OTHER Issue - Unit 306 Internet connection unstable in Unit 306,OTHER,OTHER,0,,FALSE,TRUE
883,PLUMBING Issue - Unit 310,Bathroom sink clogged in Unit 310,PLUMBING Issue - Unit 310 Bathroom sink clogged in Unit 310,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
884,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,STRUCTURAL Issue - Unit 405 Door frame damaged in Unit 405,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
885,PLUMBING Issue - Unit 305,Toilet won't stop running in Unit 305,PLUMBING Issue - Unit 305 Toilet won't stop running in Unit 305,PLUMBING,PLUMBING,1,toilet,TRUE,TRUE
886,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,PLUMBING Issue - Unit 508 Bathroom sink clogged in Unit 508,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
887,STRUCTURAL Issue - Unit 504,Floor tiles loose in Unit 504 kitchen,STRUCTURAL Issue - Unit 504 Floor tiles loose in Unit 504 kitchen,STRUCTURAL,STRUCTURAL,3,floor|tile|structural,TRUE,TRUE
888,PLUMBING Issue - Unit 303,Faucet dripping in Unit 303 bathroom,PLUMBING Issue - Unit 303 Faucet dripping in Unit 303 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
889,STRUCTURAL Issue - Unit 202,Wall crack appearing in Unit 202 bedroom,STRUCTURAL Issue - Unit 202 Wall crack appearing in Unit 202 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
890,ELECTRICAL Issue - Unit 209,Light fixture flickering in Unit 209 living room,ELECTRICAL Issue - Unit 209 Light fixture flickering in Unit 209 living room,ELECTRICAL,ELECTRICAL,2,electric|light,TRUE,TRUE
891,OTHER Issue - Unit 205,Neighbors too noisy during midnight in Unit 205,OTHER Issue - Unit 205 Neighbors too noisy during midnight in Unit 205,OTHER,OTHER,0,,FALSE,TRUE
892,OTHER Issue - Unit 408,Internet connection unstable in Unit 408,OTHER Issue - Unit 408 Internet connection unstable in Unit 408,OTHER,OTHER,0,,FALSE,TRUE
893,PLUMBING Issue - Unit 410,Bathroom sink clogged in Unit 410,PLUMBING Issue - Unit 410 Bathroom sink clogged in Unit 410,PLUMBING,PLUMBING,2,sink|clogged,TRUE,TRUE
894,PLUMBING Issue - Unit 409,Water leaking under kitchen sink in Unit 409,PLUMBING Issue - Unit 409 Water leaking under kitchen sink in Unit 409,PLUMBING,PLUMBING,4,leak|leaking|water|sink,TRUE,TRUE
895,PLUMBING Issue - Unit 207,Faucet dripping in Unit 207 bathroom,PLUMBING Issue - Unit 207 Faucet dripping in Unit 207 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
896,PLUMBING Issue - Unit 203,Faucet dripping in Unit 203 bathroom,PLUMBING Issue - Unit 203 Faucet dripping in Unit 203 bathroom,PLUMBING,PLUMBING,1,faucet,TRUE,TRUE
897,ELECTRICAL Issue - Unit 406,Bedroom outlet sparks when plugging in charger in Unit 406,ELECTRICAL Issue - Unit 406 Bedroom outlet sparks when plugging in charger in Unit 406,ELECTRICAL,ELECTRICAL,3,electric|outlet|spark,TRUE,TRUE
898,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,OTHER Issue - Unit 507 Neighbors too noisy during midnight in Unit 507,OTHER,OTHER,0,,FALSE,TRUE
899,STRUCTURAL Issue - Unit 308,Door frame damaged in Unit 308,STRUCTURAL Issue - Unit 308 Door frame damaged in Unit 308,STRUCTURAL,STRUCTURAL,3,door|structural|damage,TRUE,TRUE
900,STRUCTURAL Issue - Unit 504,Wall crack appearing in Unit 504 bedroom,STRUCTURAL Issue - Unit 504 Wall crack appearing in Unit 504 bedroom,STRUCTURAL,STRUCTURAL,3,wall|crack|structural,TRUE,TRUE
901,OTHER Issue - Unit 407,Bad smell in hallway near Unit 407,OTHER Issue - Unit 407 Bad smell in hallway near Unit 407,OTHER,OTHER,0,,FALSE,TRUE
902,PLUMBING Issue - Unit 210,Low water pressure in shower of Unit 210,PLUMBING Issue - Unit 210 Low water pressure in shower of Unit 210,PLUMBING,PLUMBING,2,water|shower,TRUE,TRUE
