test_id,maintenance_title,maintenance_description,priority_level
889,STRUCTURAL Issue - Unit 202,Wall crack appearing in Unit 202 bedroom,LOW
890,ELECTRICAL Issue - Unit 209,Light fixture flickering in Unit 209 living room,HIGH
891,OTHER Issue - Unit 205,Neighbors too noisy during midnight in Unit 205,HIGH
892,OTHER Issue - Unit 408,Internet connection unstable in Unit 408,MEDIUM
893,PLUMBING Issue - Unit 410,Bathroom sink clogged in Unit 410,HIGH
894,PLUMBING Issue - Unit 409,Water leaking under kitchen sink in Unit 409,MEDIUM
895,PLUMBING Issue - Unit 207,Faucet dripping in Unit 207 bathroom,HIGH
896,PLUMBING Issue - Unit 203,Faucet dripping in Unit 203 bathroom,HIGH
897,ELECTRICAL Issue - Unit 406,Bedroom outlet sparks when plugging in charger in Unit 406,HIGH
898,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,HIGH
899,STRUCTURAL Issue - Unit 308,Door frame damaged in Unit 308,MEDIUM
900,STRUCTURAL Issue - Unit 504,Wall crack appearing in Unit 504 bedroom,MEDIUM
901,OTHER Issue - Unit 407,Bad smell in hallway near Unit 407,HIGH
902,PLUMBING Issue - Unit 210,Low water pressure in shower of Unit 210,MEDIUM
903,ELECTRICAL Issue - Unit 501,Power outlet not working in Unit 501,HIGH
904,STRUCTURAL Issue - Unit 305,Wall crack appearing in Unit 305 bedroom,LOW
905,ELECTRICAL Issue - Unit 407,Bathroom light burned out in Unit 407,HIGH
906,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,HIGH
907,OTHER Issue - Unit 501,Aircon leaking in Unit 501 bedroom,MEDIUM
908,ELECTRICAL Issue - Unit 308,Power outlet not working in Unit 308,HIGH
909,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,MEDIUM
910,OTHER Issue - Unit 307,Aircon leaking in Unit 307 bedroom,MEDIUM
911,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,MEDIUM
912,STRUCTURAL Issue - Unit 508,Crack near window in Unit 508 after heavy rain,MEDIUM
913,ELECTRICAL Issue - Unit 501,Bedroom outlet sparks when plugging in charger in Unit 501,HIGH
914,PLUMBING Issue - Unit 310,Faucet dripping in Unit 310 bathroom,HIGH
915,OTHER Issue - Unit 309,Cockroaches seen near kitchen cabinet in Unit 309,HIGH
916,OTHER Issue - Unit 407,Internet connection unstable in Unit 407,MEDIUM
917,PLUMBING Issue - Unit 308,Faucet dripping in Unit 308 bathroom,HIGH
918,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,MEDIUM
919,STRUCTURAL Issue - Unit 503,Door frame damaged in Unit 503,MEDIUM
920,PLUMBING Issue - Unit 404,Water leaking under kitchen sink in Unit 404,MEDIUM
921,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,HIGH
922,ELECTRICAL Issue - Unit 404,Bedroom outlet sparks when plugging in charger in Unit 404,HIGH
923,ELECTRICAL Issue - Unit 507,Bedroom outlet sparks when plugging in charger in Unit 507,HIGH
924,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,MEDIUM
925,PLUMBING Issue - Unit 507,Toilet won't stop running in Unit 507,HIGH
926,PLUMBING Issue - Unit 509,Faucet dripping in Unit 509 bathroom,HIGH
927,ELECTRICAL Issue - Unit 202,Light fixture flickering in Unit 202 living room,HIGH
928,ELECTRICAL Issue - Unit 208,Bathroom light burned out in Unit 208,HIGH
929,ELECTRICAL Issue - Unit 205,Circuit breaker keeps tripping in Unit 205,HIGH
930,STRUCTURAL Issue - Unit 410,Ceiling water stain in Unit 410,MEDIUM
931,STRUCTURAL Issue - Unit 502,Wall crack appearing in Unit 502 bedroom,LOW
932,STRUCTURAL Issue - Unit 407,Crack near window in Unit 407 after heavy rain,MEDIUM
933,STRUCTURAL Issue - Unit 507,Crack near window in Unit 507 after heavy rain,MEDIUM
934,ELECTRICAL Issue - Unit 407,Power outlet not working in Unit 407,HIGH
935,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,HIGH
936,ELECTRICAL Issue - Unit 408,Circuit breaker keeps tripping in Unit 408,HIGH
937,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,HIGH
938,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,MEDIUM
939,STRUCTURAL Issue - Unit 405,Wall crack appearing in Unit 405 bedroom,LOW
940,PLUMBING Issue - Unit 508,Low water pressure in shower of Unit 508,MEDIUM
941,STRUCTURAL Issue - Unit 302,Wall crack appearing in Unit 302 bedroom,LOW
942,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,MEDIUM
943,OTHER Issue - Unit 403,Internet connection unstable in Unit 403,MEDIUM
944,STRUCTURAL Issue - Unit 509,Ceiling water stain in Unit 509,MEDIUM
945,ELECTRICAL Issue - Unit 405,Bedroom outlet sparks when plugging in charger in Unit 405,HIGH
946,PLUMBING Issue - Unit 309,Low water pressure in shower of Unit 309,MEDIUM
947,PLUMBING Issue - Unit 306,Water leaking under kitchen sink in Unit 306,MEDIUM
948,OTHER Issue - Unit 408,Bad smell in hallway near Unit 408,HIGH
949,OTHER Issue - Unit 302,Bad smell in hallway near Unit 302,HIGH
950,OTHER Issue - Unit 407,Cockroaches seen near kitchen cabinet in Unit 407,HIGH
951,PLUMBING Issue - Unit 301,Water leaking under kitchen sink in Unit 301,MEDIUM
952,ELECTRICAL Issue - Unit 210,Circuit breaker keeps tripping in Unit 210,HIGH
953,PLUMBING Issue - Unit 208,Water leaking under kitchen sink in Unit 208,MEDIUM
954,ELECTRICAL Issue - Unit 406,Power outlet not working in Unit 406,HIGH
955,OTHER Issue - Unit 305,Internet connection unstable in Unit 305,MEDIUM
956,OTHER Issue - Unit 305,Aircon leaking in Unit 305 bedroom,MEDIUM
957,STRUCTURAL Issue - Unit 307,Door frame damaged in Unit 307,MEDIUM
958,PLUMBING Issue - Unit 303,Toilet won't stop running in Unit 303,HIGH
959,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,LOW
960,PLUMBING Issue - Unit 403,Faucet dripping in Unit 403 bathroom,HIGH
961,OTHER Issue - Unit 403,Cockroaches seen near kitchen cabinet in Unit 403,HIGH
962,ELECTRICAL Issue - Unit 302,Circuit breaker keeps tripping in Unit 302,HIGH
963,STRUCTURAL Issue - Unit 310,Floor tiles loose in Unit 310 kitchen,MEDIUM
964,STRUCTURAL Issue - Unit 404,Door frame damaged in Unit 404,MEDIUM
965,STRUCTURAL Issue - Unit 209,Crack near window in Unit 209 after heavy rain,MEDIUM
