MR-819,,Aircon leaking in Unit 403 bedroom,,
MR-820,,Door frame damaged in Unit 309,,
MR-821,,Door frame damaged in Unit 401,,
MR-822,,Door frame damaged in Unit 507,,
MR-823,,Neighbors too noisy during midnight in Unit 208,,
MR-824,,Crack near window in Unit 306 after heavy rain,,
MR-825,,Cockroaches seen near kitchen cabinet in Unit 405,,
MR-826,,Bathroom sink clogged in Unit 404,,
MR-827,,Aircon leaking in Unit 304 bedroom,,
MR-828,,Bathroom light burned out in Unit 409,,
MR-829,,Bathroom sink clogged in Unit 506,,
MR-830,,Circuit breaker keeps tripping in Unit 404,,
MR-831,,Toilet won't stop running in Unit 201,,
MR-832,,Water leaking under kitchen sink in Unit 507,,
MR-833,,Crack near window in Unit 409 after heavy rain,,
MR-834,,Aircon leaking in Unit 301 bedroom,,
MR-835,,Crack near window in Unit 206 after heavy rain,,
MR-836,,Low water pressure in shower of Unit 204,,
MR-837,,Aircon leaking in Unit 207 bedroom,,
MR-838,,Faucet dripping in Unit 306 bathroom,,
MR-839,,Neighbors too noisy during midnight in Unit 507,,
MR-840,,Circuit breaker keeps tripping in Unit 208,,
MR-841,,Circuit breaker keeps tripping in Unit 401,,
MR-842,,Door frame damaged in Unit 205,,
MR-843,,Low water pressure in shower of Unit 505,,
MR-844,,Floor tiles loose in Unit 307 kitchen,,
MR-845,,Bad smell in hallway near Unit 201,,
MR-846,,Faucet dripping in Unit 210 bathroom,,
MR-847,,Bathroom light burned out in Unit 201,,
MR-848,,Floor tiles loose in Unit 305 kitchen,,
MR-849,,Aircon leaking in Unit 207 bedroom,,
MR-850,,Bedroom outlet sparks when plugging in charger in Unit 209,,
MR-851,,Cockroaches seen near kitchen cabinet in Unit 501,,
MR-852,,Low water pressure in shower of Unit 402,,
MR-853,,Internet connection unstable in Unit 304,,
MR-854,,Cockroaches seen near kitchen cabinet in Unit 204,,
MR-855,,Internet connection unstable in Unit 310,,
MR-856,,Bathroom sink clogged in Unit 506,,
MR-857,,Cockroaches seen near kitchen cabinet in Unit 508,,
MR-858,,Bad smell in hallway near Unit 207,,
MR-859,,Bedroom outlet sparks when plugging in charger in Unit 502,,
MR-860,,Floor tiles loose in Unit 508 kitchen,,
MR-861,,Neighbors too noisy during midnight in Unit 301,,
MR-862,,Faucet dripping in Unit 501 bathroom,,
MR-863,,Internet connection unstable in Unit 203,,
MR-864,,Crack near window in Unit 409 after heavy rain,,
MR-865,,Internet connection unstable in Unit 509,,
MR-866,,Neighbors too noisy during midnight in Unit 408,,
MR-867,,Circuit breaker keeps tripping in Unit 507,,
MR-868,,Crack near window in Unit 405 after heavy rain,,
MR-869,,Faucet dripping in Unit 304 bathroom,,
MR-870,,Low water pressure in shower of Unit 407,,
MR-871,,Cockroaches seen near kitchen cabinet in Unit 501,,
MR-872,,Ceiling water stain in Unit 508,,
MR-873,,Cockroaches seen near kitchen cabinet in Unit 508,,
MR-874,,Bedroom outlet sparks when plugging in charger in Unit 310,,
MR-875,,Bathroom sink clogged in Unit 505,,
MR-876,,Cockroaches seen near kitchen cabinet in Unit 505,,
MR-877,,Light fixture flickering in Unit 503 living room,,
MR-878,,Floor tiles loose in Unit 306 kitchen,,
MR-879,,Wall crack appearing in Unit 308 bedroom,,
MR-880,,Toilet won't stop running in Unit 503,,
MR-881,,Bad smell in hallway near Unit 206,,
MR-882,,Internet connection unstable in Unit 306,,
MR-883,,Bathroom sink clogged in Unit 310,,
MR-884,,Door frame damaged in Unit 405,,
MR-885,,Toilet won't stop running in Unit 305,,
MR-886,,Bathroom sink clogged in Unit 508,,
MR-887,,Floor tiles loose in Unit 504 kitchen,,
MR-888,,Faucet dripping in Unit 303 bathroom,,
MR-889,,Wall crack appearing in Unit 202 bedroom,,
MR-890,,Light fixture flickering in Unit 209 living room,,
MR-891,,Neighbors too noisy during midnight in Unit 205,,
MR-892,,Internet connection unstable in Unit 408,,
MR-893,,Bathroom sink clogged in Unit 410,,
MR-894,,Water leaking under kitchen sink in Unit 409,,
MR-895,,Faucet dripping in Unit 207 bathroom,,
MR-896,,Faucet dripping in Unit 203 bathroom,,
MR-897,,Bedroom outlet sparks when plugging in charger in Unit 406,,
MR-898,,Neighbors too noisy during midnight in Unit 507,,
MR-899,,Door frame damaged in Unit 308,,
MR-900,,Wall crack appearing in Unit 504 bedroom,,
MR-901,,Bad smell in hallway near Unit 407,,
MR-902,,Low water pressure in shower of Unit 210,,
MR-903,,Power outlet not working in Unit 501,,
MR-904,,Wall crack appearing in Unit 305 bedroom,,
MR-905,,Bathroom light burned out in Unit 407,,
MR-906,,Light fixture flickering in Unit 503 living room,,
MR-907,,Aircon leaking in Unit 501 bedroom,,
MR-908,,Power outlet not working in Unit 308,,
MR-909,,Aircon leaking in Unit 303 bedroom,,
MR-910,,Aircon leaking in Unit 307 bedroom,,
MR-911,,Door frame damaged in Unit 405,,
MR-912,,Crack near window in Unit 508 after heavy rain,,
MR-913,,Bedroom outlet sparks when plugging in charger in Unit 501,,
MR-914,,Faucet dripping in Unit 310 bathroom,,
MR-915,,Cockroaches seen near kitchen cabinet in Unit 309,,
MR-916,,Internet connection unstable in Unit 407,,
MR-917,,Faucet dripping in Unit 308 bathroom,,
MR-918,,Floor tiles loose in Unit 305 kitchen,,
MR-919,,Door frame damaged in Unit 503,,
MR-920,,Water leaking under kitchen sink in Unit 404,,
MR-921,,Cockroaches seen near kitchen cabinet in Unit 302,,
MR-922,,Bedroom outlet sparks when plugging in charger in Unit 404,,
MR-923,,Bedroom outlet sparks when plugging in charger in Unit 507,,
MR-924,,Aircon leaking in Unit 303 bedroom,,
MR-925,,Toilet won't stop running in Unit 507,,
MR-926,,Faucet dripping in Unit 509 bathroom,,
MR-927,,Light fixture flickering in Unit 202 living room,,
MR-928,,Bathroom light burned out in Unit 208,,
MR-929,,Circuit breaker keeps tripping in Unit 205,,
MR-930,,Ceiling water stain in Unit 410,,
MR-931,,Wall crack appearing in Unit 502 bedroom,,
MR-932,,Crack near window in Unit 407 after heavy rain,,
MR-933,,Crack near window in Unit 507 after heavy rain,,
MR-934,,Power outlet not working in Unit 407,,
MR-935,,Cockroaches seen near kitchen cabinet in Unit 302,,
MR-936,,Circuit breaker keeps tripping in Unit 408,,
MR-937,,Bedroom outlet sparks when plugging in charger in Unit 502,,
MR-938,,Floor tiles loose in Unit 306 kitchen,,
MR-939,,Wall crack appearing in Unit 405 bedroom,,
MR-940,,Low water pressure in shower of Unit 508,,
MR-941,,Wall crack appearing in Unit 302 bedroom,,
MR-942,,Internet connection unstable in Unit 310,,
MR-943,,Internet connection unstable in Unit 403,,
MR-944,,Ceiling water stain in Unit 509,,
MR-945,,Bedroom outlet sparks when plugging in charger in Unit 405,,
MR-946,,Low water pressure in shower of Unit 309,,
MR-947,,Water leaking under kitchen sink in Unit 306,,
MR-948,,Bad smell in hallway near Unit 408,,
MR-949,,Bad smell in hallway near Unit 302,,
MR-950,,Cockroaches seen near kitchen cabinet in Unit 407,,
MR-951,,Water leaking under kitchen sink in Unit 301,,
MR-952,,Circuit breaker keeps tripping in Unit 210,,
MR-953,,Water leaking under kitchen sink in Unit 208,,
MR-954,,Power outlet not working in Unit 406,,
MR-955,,Internet connection unstable in Unit 305,,
MR-956,,Aircon leaking in Unit 305 bedroom,,
MR-957,,Door frame damaged in Unit 307,,
MR-958,,Toilet won't stop running in Unit 303,,
MR-959,,Wall crack appearing in Unit 210 bedroom,,
MR-960,,Faucet dripping in Unit 403 bathroom,,
MR-961,,Cockroaches seen near kitchen cabinet in Unit 403,,
MR-962,,Circuit breaker keeps tripping in Unit 302,,
MR-963,,Floor tiles loose in Unit 310 kitchen,,
MR-964,,Door frame damaged in Unit 404,,
MR-965,,Crack near window in Unit 209 after heavy rain,,
