test_id,maintenance_title,maintenance_description,human_label
MR-795,ELECTRICAL Issue - Unit 205,Bedroom outlet sparks when plugging in charger in Unit 205,
MR-796,OTHER Issue - Unit 506,Internet connection unstable in Unit 506,
MR-797,OTHER Issue - Unit 206,Cockroaches seen near kitchen cabinet in Unit 206,
MR-798,OTHER Issue - Unit 202,Internet connection unstable in Unit 202,
MR-799,OTHER Issue - Unit 509,Neighbors too noisy during midnight in Unit 509,
MR-800,OTHER Issue - Unit 206,Aircon leaking in Unit 206 bedroom,
MR-801,STRUCTURAL Issue - Unit 210,Door frame damaged in Unit 210,
MR-802,STRUCTURAL Issue - Unit 506,Wall crack appearing in Unit 506 bedroom,
MR-803,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,
MR-804,ELECTRICAL Issue - Unit 504,Light fixture flickering in Unit 504 living room,
MR-805,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,
MR-806,OTHER Issue - Unit 404,Bad smell in hallway near Unit 404,
MR-807,OTHER Issue - Unit 502,Aircon leaking in Unit 502 bedroom,
MR-808,ELECTRICAL Issue - Unit 304,Bathroom light burned out in Unit 304,
MR-809,PLUMBING Issue - Unit 404,Low water pressure in shower of Unit 404,
MR-810,OTHER Issue - Unit 405,Neighbors too noisy during midnight in Unit 405,
MR-811,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,
MR-812,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,
MR-813,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,
MR-814,OTHER Issue - Unit 209,Cockroaches seen near kitchen cabinet in Unit 209,
MR-815,ELECTRICAL Issue - Unit 202,Bathroom light burned out in Unit 202,
MR-816,OTHER Issue - Unit 305,Neighbors too noisy during midnight in Unit 305,
MR-817,OTHER Issue - Unit 410,Cockroaches seen near kitchen cabinet in Unit 410,
MR-818,ELECTRICAL Issue - Unit 309,Circuit breaker keeps tripping in Unit 309,
MR-819,OTHER Issue - Unit 403,Aircon leaking in Unit 403 bedroom,
MR-820,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,
MR-821,STRUCTURAL Issue - Unit 401,Door frame damaged in Unit 401,
MR-822,STRUCTURAL Issue - Unit 507,Door frame damaged in Unit 507,
MR-823,OTHER Issue - Unit 208,Neighbors too noisy during midnight in Unit 208,
MR-824,STRUCTURAL Issue - Unit 306,Crack near window in Unit 306 after heavy rain,
MR-825,OTHER Issue - Unit 405,Cockroaches seen near kitchen cabinet in Unit 405,
MR-826,PLUMBING Issue - Unit 404,Bathroom sink clogged in Unit 404,
MR-827,OTHER Issue - Unit 304,Aircon leaking in Unit 304 bedroom,
MR-828,ELECTRICAL Issue - Unit 409,Bathroom light burned out in Unit 409,
MR-829,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,
MR-830,ELECTRICAL Issue - Unit 404,Circuit breaker keeps tripping in Unit 404,
MR-831,PLUMBING Issue - Unit 201,Toilet won't stop running in Unit 201,
MR-832,PLUMBING Issue - Unit 507,Water leaking under kitchen sink in Unit 507,
MR-833,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,
MR-834,OTHER Issue - Unit 301,Aircon leaking in Unit 301 bedroom,
MR-835,STRUCTURAL Issue - Unit 206,Crack near window in Unit 206 after heavy rain,
MR-836,PLUMBING Issue - Unit 204,Low water pressure in shower of Unit 204,
MR-837,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,
MR-838,PLUMBING Issue - Unit 306,Faucet dripping in Unit 306 bathroom,
MR-839,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,
MR-840,ELECTRICAL Issue - Unit 208,Circuit breaker keeps tripping in Unit 208,
MR-841,ELECTRICAL Issue - Unit 401,Circuit breaker keeps tripping in Unit 401,
MR-842,STRUCTURAL Issue - Unit 205,Door frame damaged in Unit 205,
MR-843,PLUMBING Issue - Unit 505,Low water pressure in shower of Unit 505,
MR-844,STRUCTURAL Issue - Unit 307,Floor tiles loose in Unit 307 kitchen,
MR-845,OTHER Issue - Unit 201,Bad smell in hallway near Unit 201,
MR-846,PLUMBING Issue - Unit 210,Faucet dripping in Unit 210 bathroom,
MR-847,ELECTRICAL Issue - Unit 201,Bathroom light burned out in Unit 201,
MR-848,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,
MR-849,OTHER Issue - Unit 207,Aircon leaking in Unit 207 bedroom,
MR-850,ELECTRICAL Issue - Unit 209,Bedroom outlet sparks when plugging in charger in Unit 209,
MR-851,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,
MR-852,PLUMBING Issue - Unit 402,Low water pressure in shower of Unit 402,
MR-853,OTHER Issue - Unit 304,Internet connection unstable in Unit 304,
MR-854,OTHER Issue - Unit 204,Cockroaches seen near kitchen cabinet in Unit 204,
MR-855,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,
MR-856,PLUMBING Issue - Unit 506,Bathroom sink clogged in Unit 506,
MR-857,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,
MR-858,OTHER Issue - Unit 207,Bad smell in hallway near Unit 207,
MR-859,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,
MR-860,STRUCTURAL Issue - Unit 508,Floor tiles loose in Unit 508 kitchen,
MR-861,OTHER Issue - Unit 301,Neighbors too noisy during midnight in Unit 301,
MR-862,PLUMBING Issue - Unit 501,Faucet dripping in Unit 501 bathroom,
MR-863,OTHER Issue - Unit 203,Internet connection unstable in Unit 203,
MR-864,STRUCTURAL Issue - Unit 409,Crack near window in Unit 409 after heavy rain,
MR-865,OTHER Issue - Unit 509,Internet connection unstable in Unit 509,
MR-866,OTHER Issue - Unit 408,Neighbors too noisy during midnight in Unit 408,
MR-867,ELECTRICAL Issue - Unit 507,Circuit breaker keeps tripping in Unit 507,
MR-868,STRUCTURAL Issue - Unit 405,Crack near window in Unit 405 after heavy rain,
MR-869,PLUMBING Issue - Unit 304,Faucet dripping in Unit 304 bathroom,
MR-870,PLUMBING Issue - Unit 407,Low water pressure in shower of Unit 407,
MR-871,OTHER Issue - Unit 501,Cockroaches seen near kitchen cabinet in Unit 501,
MR-872,STRUCTURAL Issue - Unit 508,Ceiling water stain in Unit 508,
MR-873,OTHER Issue - Unit 508,Cockroaches seen near kitchen cabinet in Unit 508,
MR-874,ELECTRICAL Issue - Unit 310,Bedroom outlet sparks when plugging in charger in Unit 310,
MR-875,PLUMBING Issue - Unit 505,Bathroom sink clogged in Unit 505,
MR-876,OTHER Issue - Unit 505,Cockroaches seen near kitchen cabinet in Unit 505,
MR-877,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,
MR-878,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,
MR-879,STRUCTURAL Issue - Unit 308,Wall crack appearing in Unit 308 bedroom,
MR-880,PLUMBING Issue - Unit 503,Toilet won't stop running in Unit 503,
MR-881,OTHER Issue - Unit 206,Bad smell in hallway near Unit 206,
MR-882,OTHER Issue - Unit 306,Internet connection unstable in Unit 306,
MR-883,PLUMBING Issue - Unit 310,Bathroom sink clogged in Unit 310,
MR-884,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,
MR-885,PLUMBING Issue - Unit 305,Toilet won't stop running in Unit 305,
MR-886,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,
MR-887,STRUCTURAL Issue - Unit 504,Floor tiles loose in Unit 504 kitchen,
MR-888,PLUMBING Issue - Unit 303,Faucet dripping in Unit 303 bathroom,
MR-889,STRUCTURAL Issue - Unit 202,Wall crack appearing in Unit 202 bedroom,
MR-890,ELECTRICAL Issue - Unit 209,Light fixture flickering in Unit 209 living room,
MR-891,OTHER Issue - Unit 205,Neighbors too noisy during midnight in Unit 205,
MR-892,OTHER Issue - Unit 408,Internet connection unstable in Unit 408,
MR-893,PLUMBING Issue - Unit 410,Bathroom sink clogged in Unit 410,
MR-894,PLUMBING Issue - Unit 409,Water leaking under kitchen sink in Unit 409,
MR-895,PLUMBING Issue - Unit 207,Faucet dripping in Unit 207 bathroom,
MR-896,PLUMBING Issue - Unit 203,Faucet dripping in Unit 203 bathroom,
MR-897,ELECTRICAL Issue - Unit 406,Bedroom outlet sparks when plugging in charger in Unit 406,
MR-898,OTHER Issue - Unit 507,Neighbors too noisy during midnight in Unit 507,
MR-899,STRUCTURAL Issue - Unit 308,Door frame damaged in Unit 308,
MR-900,STRUCTURAL Issue - Unit 504,Wall crack appearing in Unit 504 bedroom,
MR-901,OTHER Issue - Unit 407,Bad smell in hallway near Unit 407,
MR-902,PLUMBING Issue - Unit 210,Low water pressure in shower of Unit 210,
MR-903,ELECTRICAL Issue - Unit 501,Power outlet not working in Unit 501,
MR-904,STRUCTURAL Issue - Unit 305,Wall crack appearing in Unit 305 bedroom,
MR-905,ELECTRICAL Issue - Unit 407,Bathroom light burned out in Unit 407,
MR-906,ELECTRICAL Issue - Unit 503,Light fixture flickering in Unit 503 living room,
MR-907,OTHER Issue - Unit 501,Aircon leaking in Unit 501 bedroom,
MR-908,ELECTRICAL Issue - Unit 308,Power outlet not working in Unit 308,
MR-909,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,
MR-910,OTHER Issue - Unit 307,Aircon leaking in Unit 307 bedroom,
MR-911,STRUCTURAL Issue - Unit 405,Door frame damaged in Unit 405,
MR-912,STRUCTURAL Issue - Unit 508,Crack near window in Unit 508 after heavy rain,
MR-913,ELECTRICAL Issue - Unit 501,Bedroom outlet sparks when plugging in charger in Unit 501,
MR-914,PLUMBING Issue - Unit 310,Faucet dripping in Unit 310 bathroom,
MR-915,OTHER Issue - Unit 309,Cockroaches seen near kitchen cabinet in Unit 309,
MR-916,OTHER Issue - Unit 407,Internet connection unstable in Unit 407,
MR-917,PLUMBING Issue - Unit 308,Faucet dripping in Unit 308 bathroom,
MR-918,STRUCTURAL Issue - Unit 305,Floor tiles loose in Unit 305 kitchen,
MR-919,STRUCTURAL Issue - Unit 503,Door frame damaged in Unit 503,
MR-920,PLUMBING Issue - Unit 404,Water leaking under kitchen sink in Unit 404,
MR-921,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,
MR-922,ELECTRICAL Issue - Unit 404,Bedroom outlet sparks when plugging in charger in Unit 404,
MR-923,ELECTRICAL Issue - Unit 507,Bedroom outlet sparks when plugging in charger in Unit 507,
MR-924,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,
MR-925,PLUMBING Issue - Unit 507,Toilet won't stop running in Unit 507,
MR-926,PLUMBING Issue - Unit 509,Faucet dripping in Unit 509 bathroom,
MR-927,ELECTRICAL Issue - Unit 202,Light fixture flickering in Unit 202 living room,
MR-928,ELECTRICAL Issue - Unit 208,Bathroom light burned out in Unit 208,
MR-929,ELECTRICAL Issue - Unit 205,Circuit breaker keeps tripping in Unit 205,
MR-930,STRUCTURAL Issue - Unit 410,Ceiling water stain in Unit 410,
MR-931,STRUCTURAL Issue - Unit 502,Wall crack appearing in Unit 502 bedroom,
MR-932,STRUCTURAL Issue - Unit 407,Crack near window in Unit 407 after heavy rain,
MR-933,STRUCTURAL Issue - Unit 507,Crack near window in Unit 507 after heavy rain,
MR-934,ELECTRICAL Issue - Unit 407,Power outlet not working in Unit 407,
MR-935,OTHER Issue - Unit 302,Cockroaches seen near kitchen cabinet in Unit 302,
MR-936,ELECTRICAL Issue - Unit 408,Circuit breaker keeps tripping in Unit 408,
MR-937,ELECTRICAL Issue - Unit 502,Bedroom outlet sparks when plugging in charger in Unit 502,
MR-938,STRUCTURAL Issue - Unit 306,Floor tiles loose in Unit 306 kitchen,
MR-939,STRUCTURAL Issue - Unit 405,Wall crack appearing in Unit 405 bedroom,
MR-940,PLUMBING Issue - Unit 508,Low water pressure in shower of Unit 508,
MR-941,STRUCTURAL Issue - Unit 302,Wall crack appearing in Unit 302 bedroom,
MR-942,OTHER Issue - Unit 310,Internet connection unstable in Unit 310,
MR-943,OTHER Issue - Unit 403,Internet connection unstable in Unit 403,
MR-944,STRUCTURAL Issue - Unit 509,Ceiling water stain in Unit 509,
MR-945,ELECTRICAL Issue - Unit 405,Bedroom outlet sparks when plugging in charger in Unit 405,
MR-946,PLUMBING Issue - Unit 309,Low water pressure in shower of Unit 309,
MR-947,PLUMBING Issue - Unit 306,Water leaking under kitchen sink in Unit 306,
MR-948,OTHER Issue - Unit 408,Bad smell in hallway near Unit 408,
MR-949,OTHER Issue - Unit 302,Bad smell in hallway near Unit 302,
MR-950,OTHER Issue - Unit 407,Cockroaches seen near kitchen cabinet in Unit 407,
MR-951,PLUMBING Issue - Unit 301,Water leaking under kitchen sink in Unit 301,
MR-952,ELECTRICAL Issue - Unit 210,Circuit breaker keeps tripping in Unit 210,
MR-953,PLUMBING Issue - Unit 208,Water leaking under kitchen sink in Unit 208,
MR-954,ELECTRICAL Issue - Unit 406,Power outlet not working in Unit 406,
MR-955,OTHER Issue - Unit 305,Internet connection unstable in Unit 305,
MR-956,OTHER Issue - Unit 305,Aircon leaking in Unit 305 bedroom,
MR-957,STRUCTURAL Issue - Unit 307,Door frame damaged in Unit 307,
MR-958,PLUMBING Issue - Unit 303,Toilet won't stop running in Unit 303,
MR-959,STRUCTURAL Issue - Unit 210,Wall crack appearing in Unit 210 bedroom,
MR-960,PLUMBING Issue - Unit 403,Faucet dripping in Unit 403 bathroom,
MR-961,OTHER Issue - Unit 403,Cockroaches seen near kitchen cabinet in Unit 403,
MR-962,ELECTRICAL Issue - Unit 302,Circuit breaker keeps tripping in Unit 302,
MR-963,STRUCTURAL Issue - Unit 310,Floor tiles loose in Unit 310 kitchen,
MR-964,STRUCTURAL Issue - Unit 404,Door frame damaged in Unit 404,
MR-965,STRUCTURAL Issue - Unit 209,Crack near window in Unit 209 after heavy rain,
